Power Range (%),Time (%),Hours (h),Asset,Site
0-10%,0.06999999999999999,3.0723024578399976,SLM00575,Fernando de Noronha
10-20%,1.0699999999999998,46.96233756983995,SLM00575,Fernando de Noronha
20-30%,62.019999999999996,2722.0599776462377,SLM00575,Fernando de Noronha
30-40%,22.509999999999998,987.9646903711192,SLM00575,Fernando de Noronha
40-50%,10.18,446.8005574401597,SLM00575,Fernando de Noronha
50-60%,3.61,158.4430267543199,SLM00575,Fernando de Noronha
60-70%,0.43,18.872715098159986,SLM00575,Fernando de Noronha
70-80%,0.06999999999999999,3.0723024578399976,SLM00575,Fernando de Noronha
80-90%,0.0,0.0,SLM00575,Fernando de Noronha
90-100%,0.05,2.1945017555999984,SLM00575,Fernando de Noronha
100-110%,0.0,0.0,SLM00575,Fernando de Noronha
