Timestamp,TTG00234_Load,TTG00231_Load,QNT_SIM,UT1E,UT2E,Site
2021-07-26,,5.0,0.0,4.2,0.0,Martin Vaz
2021-07-27,35.0,21.0,1.0,4.2,37.5,Martin Vaz
2021-07-28,35.0,12.0,2.0,16.7,83.3,Martin Vaz
2021-07-29,33.0,5.0,2.0,37.5,62.5,Martin Vaz
2021-07-30,28.0,2.0,1.0,66.7,33.3,Martin Vaz
2021-07-31,28.0,28.0,1.0,75.0,25.0,Martin Vaz
2021-08-01,29.0,25.0,1.0,54.2,45.8,Martin Vaz
2021-08-02,26.0,34.0,1.0,79.2,20.8,Martin Vaz
2021-08-03,31.0,36.0,1.0,95.8,0.0,Martin Vaz
2021-08-04,29.0,,1.0,100.0,0.0,Martin Vaz
2021-08-05,28.0,33.0,1.0,100.0,0.0,Martin Vaz
2021-08-06,,33.0,1.0,100.0,0.0,Martin Vaz
2021-08-07,8.0,38.0,2.0,25.0,75.0,Martin Vaz
2021-08-08,30.0,40.0,1.0,4.2,33.3,Martin Vaz
2021-08-09,,,0.0,0.0,0.0,Martin Vaz
2021-08-10,40.0,29.0,0.0,16.7,8.3,Martin Vaz
2021-08-11,,,0.0,0.0,0.0,Martin Vaz
2021-08-12,,,0.0,0.0,0.0,Martin Vaz
2021-08-13,37.0,24.0,1.0,8.3,33.3,Martin Vaz
2021-08-14,33.0,26.0,2.0,37.5,58.3,Martin Vaz
2021-08-15,26.0,,1.0,100.0,0.0,Martin Vaz
2021-08-16,28.0,29.0,1.0,87.5,12.5,Martin Vaz
2021-08-17,29.0,,1.0,100.0,0.0,Martin Vaz
2021-08-18,23.0,37.0,2.0,41.7,58.3,Martin Vaz
2021-08-19,14.0,43.0,1.0,4.2,33.3,Martin Vaz
2021-08-20,40.0,22.0,1.0,12.5,37.5,Martin Vaz
2021-08-21,39.0,22.0,2.0,0.0,100.0,Martin Vaz
2021-08-22,40.0,26.0,1.0,4.2,37.5,Martin Vaz
2021-08-23,37.0,30.0,0.0,8.3,4.2,Martin Vaz
2021-08-24,35.0,34.0,0.0,16.7,4.2,Martin Vaz
2021-08-25,,,0.0,0.0,0.0,Martin Vaz
2021-08-26,,,0.0,0.0,0.0,Martin Vaz
2021-08-27,36.0,28.0,1.0,12.5,37.5,Martin Vaz
2021-08-28,34.0,22.0,2.0,41.7,58.3,Martin Vaz
2021-08-29,17.0,22.0,2.0,16.7,83.3,Martin Vaz
2021-08-30,10.0,35.0,1.0,66.7,33.3,Martin Vaz
2021-08-31,24.0,39.0,1.0,54.2,45.8,Martin Vaz
2021-09-01,24.0,37.0,1.0,62.5,37.5,Martin Vaz
2021-09-02,,36.0,1.0,100.0,0.0,Martin Vaz
2021-09-03,32.0,35.0,1.0,95.8,4.2,Martin Vaz
2021-09-04,27.0,32.0,1.0,95.8,4.2,Martin Vaz
2021-09-05,28.0,34.0,1.0,95.8,4.2,Martin Vaz
2021-09-06,,33.0,1.0,100.0,0.0,Martin Vaz
2021-09-07,35.0,23.0,2.0,25.0,70.8,Martin Vaz
2021-09-08,34.0,22.0,1.0,12.5,33.3,Martin Vaz
2021-09-09,,,0.0,0.0,0.0,Martin Vaz
2021-09-10,37.0,31.0,1.0,12.5,20.8,Martin Vaz
2021-09-11,37.0,30.0,2.0,37.5,62.5,Martin Vaz
2021-09-12,,34.0,1.0,95.8,0.0,Martin Vaz
2021-09-13,11.0,38.0,1.0,87.5,12.5,Martin Vaz
2021-09-14,5.0,35.0,1.0,41.7,50.0,Martin Vaz
2021-09-15,3.0,35.0,1.0,54.2,45.8,Martin Vaz
2021-09-16,21.0,35.0,2.0,20.8,79.2,Martin Vaz
2021-09-17,29.0,35.0,2.0,4.2,95.8,Martin Vaz
2021-09-18,31.0,35.0,2.0,0.0,100.0,Martin Vaz
2021-09-19,32.0,35.0,2.0,0.0,100.0,Martin Vaz
2021-09-20,38.0,35.0,2.0,50.0,50.0,Martin Vaz
2021-09-21,31.0,35.0,1.0,62.5,12.5,Martin Vaz
2021-09-22,,,0.0,0.0,0.0,Martin Vaz
2021-09-23,,,0.0,0.0,0.0,Martin Vaz
2021-09-24,20.0,35.0,1.0,12.5,29.2,Martin Vaz
2021-09-25,19.0,40.0,2.0,29.2,70.8,Martin Vaz
2021-09-26,,36.0,1.0,100.0,0.0,Martin Vaz
2021-09-27,31.0,36.0,1.0,100.0,0.0,Martin Vaz
2021-09-28,,35.0,1.0,100.0,0.0,Martin Vaz
2021-09-29,,33.0,1.0,100.0,0.0,Martin Vaz
2021-09-30,3.0,35.0,1.0,79.2,20.8,Martin Vaz
2021-10-01,7.0,39.0,2.0,45.8,54.2,Martin Vaz
2021-10-02,13.0,38.0,1.0,54.2,45.8,Martin Vaz
2021-10-03,24.0,31.0,1.0,4.2,54.2,Martin Vaz
2021-10-04,34.0,35.0,0.0,0.0,12.5,Martin Vaz
2021-10-05,33.0,32.0,0.0,8.3,12.5,Martin Vaz
2021-10-06,,,0.0,0.0,0.0,Martin Vaz
2021-10-07,,,0.0,0.0,0.0,Martin Vaz
2021-10-08,37.0,17.0,1.0,12.5,54.2,Martin Vaz
2021-10-09,26.0,20.0,2.0,41.7,58.3,Martin Vaz
2021-10-10,11.0,5.0,1.0,66.7,33.3,Martin Vaz
2021-10-11,9.0,9.0,2.0,0.0,100.0,Martin Vaz
2021-10-12,8.0,8.0,2.0,0.0,100.0,Martin Vaz
2021-10-13,10.0,11.0,1.0,75.0,25.0,Martin Vaz
2021-10-14,,17.0,1.0,100.0,0.0,Martin Vaz
2021-10-15,17.0,13.0,1.0,83.3,16.7,Martin Vaz
2021-10-16,33.0,5.0,1.0,62.5,33.3,Martin Vaz
2021-10-17,34.0,26.0,2.0,4.2,91.7,Martin Vaz
2021-10-18,31.0,33.0,1.0,4.2,37.5,Martin Vaz
2021-10-19,27.0,37.0,0.0,29.2,8.3,Martin Vaz
2021-10-20,,,0.0,0.0,0.0,Martin Vaz
2021-10-21,,,0.0,0.0,0.0,Martin Vaz
2021-10-22,37.0,25.0,1.0,0.0,58.3,Martin Vaz
2021-10-23,35.0,16.0,1.0,54.2,45.8,Martin Vaz
2021-10-24,31.0,17.0,2.0,16.7,83.3,Martin Vaz
2021-10-25,26.0,12.0,1.0,66.7,29.2,Martin Vaz
2021-10-26,24.0,35.0,1.0,100.0,0.0,Martin Vaz
2021-10-27,11.0,38.0,2.0,45.8,54.2,Martin Vaz
2021-10-28,32.0,12.0,1.0,0.0,33.3,Martin Vaz
2021-10-29,34.0,29.0,1.0,0.0,58.3,Martin Vaz
2021-10-30,34.0,32.0,2.0,41.7,58.3,Martin Vaz
2021-10-31,33.0,,1.0,100.0,0.0,Martin Vaz
2021-11-01,32.0,,1.0,100.0,0.0,Martin Vaz
2021-11-02,30.0,,1.0,100.0,0.0,Martin Vaz
2021-11-03,29.0,32.0,1.0,83.3,16.7,Martin Vaz
2021-11-04,30.0,,1.0,100.0,0.0,Martin Vaz
2021-11-05,28.0,39.0,1.0,91.7,4.2,Martin Vaz
2021-11-06,29.0,,1.0,100.0,0.0,Martin Vaz
2021-11-07,30.0,32.0,1.0,83.3,16.7,Martin Vaz
2021-11-08,28.0,,1.0,100.0,0.0,Martin Vaz
2021-11-09,28.0,,1.0,100.0,0.0,Martin Vaz
2021-11-10,31.0,18.0,2.0,41.7,54.2,Martin Vaz
2021-11-11,33.0,12.0,1.0,0.0,33.3,Martin Vaz
2021-11-12,37.0,32.0,1.0,0.0,45.8,Martin Vaz
2021-11-13,35.0,31.0,2.0,33.3,66.7,Martin Vaz
2021-11-14,32.0,24.0,1.0,54.2,45.8,Martin Vaz
2021-11-15,36.0,26.0,1.0,0.0,50.0,Martin Vaz
2021-11-16,37.0,32.0,0.0,0.0,16.7,Martin Vaz
2021-11-17,,,0.0,0.0,0.0,Martin Vaz
2021-11-18,,,0.0,0.0,0.0,Martin Vaz
2021-11-19,35.0,21.0,1.0,0.0,37.5,Martin Vaz
2021-11-20,35.0,40.0,2.0,37.5,62.5,Martin Vaz
2021-11-21,27.0,,1.0,100.0,0.0,Martin Vaz
2021-11-22,28.0,30.0,1.0,87.5,12.5,Martin Vaz
2021-11-23,32.0,,1.0,100.0,0.0,Martin Vaz
2021-11-24,30.0,30.0,2.0,4.2,95.8,Martin Vaz
2021-11-25,32.0,,1.0,100.0,0.0,Martin Vaz
2021-11-26,32.0,30.0,1.0,54.2,45.8,Martin Vaz
2021-11-27,28.0,29.0,1.0,75.0,25.0,Martin Vaz
2021-11-28,28.0,,1.0,100.0,0.0,Martin Vaz
2021-11-29,24.0,4.0,0.0,50.0,0.0,Martin Vaz
2021-11-30,36.0,13.0,1.0,45.8,50.0,Martin Vaz
2021-12-01,38.0,23.0,1.0,4.2,37.5,Martin Vaz
2021-12-02,,,0.0,0.0,0.0,Martin Vaz
2021-12-03,34.0,35.0,1.0,8.3,33.3,Martin Vaz
2021-12-04,39.0,23.0,2.0,29.2,66.7,Martin Vaz
2021-12-05,,6.0,1.0,70.8,0.0,Martin Vaz
2021-12-06,,9.0,1.0,75.0,0.0,Martin Vaz
2021-12-07,28.0,25.0,1.0,75.0,25.0,Martin Vaz
2021-12-08,30.0,3.0,2.0,50.0,50.0,Martin Vaz
2021-12-09,30.0,18.0,1.0,16.7,29.2,Martin Vaz
2021-12-10,,,0.0,0.0,0.0,Martin Vaz
2021-12-11,37.0,38.0,1.0,4.2,45.8,Martin Vaz
2021-12-12,35.0,40.0,1.0,0.0,37.5,Martin Vaz
2021-12-13,35.0,27.0,0.0,12.5,16.7,Martin Vaz
2021-12-14,,,0.0,0.0,0.0,Martin Vaz
2021-12-15,,12.0,0.0,8.3,0.0,Martin Vaz
2021-12-16,,,0.0,0.0,0.0,Martin Vaz
2021-12-17,27.0,34.0,1.0,0.0,41.7,Martin Vaz
2021-12-18,28.0,38.0,1.0,4.2,66.7,Martin Vaz
2021-12-19,33.0,21.0,0.0,8.3,20.8,Martin Vaz
2021-12-20,,,0.0,0.0,0.0,Martin Vaz
2021-12-21,,,0.0,0.0,0.0,Martin Vaz
2021-12-22,21.0,,0.0,4.2,0.0,Martin Vaz
2021-12-23,,36.0,1.0,58.3,0.0,Martin Vaz
2021-12-24,30.0,27.0,1.0,87.5,12.5,Martin Vaz
2021-12-25,,11.0,1.0,100.0,0.0,Martin Vaz
2021-12-26,,12.0,1.0,100.0,0.0,Martin Vaz
2021-12-27,32.0,15.0,2.0,29.2,70.8,Martin Vaz
2021-12-28,35.0,16.0,1.0,20.8,41.7,Martin Vaz
2021-12-29,,,0.0,0.0,0.0,Martin Vaz
2021-12-30,22.0,36.0,1.0,12.5,50.0,Martin Vaz
2021-12-31,36.0,39.0,1.0,0.0,37.5,Martin Vaz
2022-01-01,,,0.0,0.0,0.0,Martin Vaz
2022-01-02,,,0.0,0.0,0.0,Martin Vaz
2022-01-03,,,0.0,0.0,0.0,Martin Vaz
2022-01-04,,,0.0,0.0,0.0,Martin Vaz
2022-01-05,,21.0,0.0,4.2,0.0,Martin Vaz
2022-01-06,,,0.0,0.0,0.0,Martin Vaz
2022-01-07,,,0.0,0.0,0.0,Martin Vaz
2022-01-08,19.0,37.0,1.0,4.2,62.5,Martin Vaz
2022-01-09,16.0,36.0,1.0,0.0,45.8,Martin Vaz
2022-01-10,,,0.0,0.0,0.0,Martin Vaz
2022-01-11,24.0,38.0,0.0,0.0,16.7,Martin Vaz
2022-01-12,,,0.0,0.0,0.0,Martin Vaz
2022-01-13,,,0.0,0.0,0.0,Martin Vaz
2022-01-14,15.0,37.0,1.0,4.2,37.5,Martin Vaz
2022-01-15,14.0,38.0,1.0,4.2,62.5,Martin Vaz
2022-01-16,,,0.0,0.0,0.0,Martin Vaz
2022-01-17,,,0.0,0.0,0.0,Martin Vaz
2022-01-18,,,0.0,0.0,0.0,Martin Vaz
2022-01-19,,,0.0,0.0,0.0,Martin Vaz
2022-01-20,,,0.0,0.0,0.0,Martin Vaz
2022-01-21,,,0.0,0.0,0.0,Martin Vaz
2022-01-22,,,0.0,0.0,0.0,Martin Vaz
2022-01-23,,,0.0,0.0,0.0,Martin Vaz
2022-01-24,36.0,28.0,0.0,4.2,12.5,Martin Vaz
2022-01-25,32.0,25.0,0.0,4.2,12.5,Martin Vaz
2022-01-26,38.0,34.0,0.0,0.0,8.3,Martin Vaz
2022-01-27,32.0,26.0,0.0,4.2,12.5,Martin Vaz
2022-01-28,34.0,27.0,2.0,0.0,75.0,Martin Vaz
2022-01-29,31.0,25.0,2.0,4.2,95.8,Martin Vaz
2022-01-30,31.0,24.0,2.0,0.0,100.0,Martin Vaz
2022-01-31,28.0,23.0,1.0,4.2,37.5,Martin Vaz
2022-02-01,30.0,21.0,1.0,0.0,50.0,Martin Vaz
2022-02-02,,,0.0,0.0,0.0,Martin Vaz
2022-02-03,,,0.0,0.0,0.0,Martin Vaz
2022-02-04,,,0.0,0.0,0.0,Martin Vaz
2022-02-05,37.0,15.0,1.0,12.5,37.5,Martin Vaz
2022-02-06,41.0,38.0,1.0,0.0,37.5,Martin Vaz
2022-02-07,25.0,34.0,0.0,0.0,4.2,Martin Vaz
2022-02-08,39.0,23.0,0.0,0.0,20.8,Martin Vaz
2022-02-09,,,0.0,0.0,0.0,Martin Vaz
2022-02-10,41.0,31.0,0.0,8.3,12.5,Martin Vaz
2022-02-11,24.0,40.0,1.0,16.7,37.5,Martin Vaz
2022-02-12,27.0,40.0,1.0,4.2,45.8,Martin Vaz
2022-02-13,,,0.0,0.0,0.0,Martin Vaz
2022-02-14,,,0.0,0.0,0.0,Martin Vaz
2022-02-15,,,0.0,0.0,0.0,Martin Vaz
2022-02-16,26.0,29.0,0.0,16.7,16.7,Martin Vaz
2022-02-17,,,0.0,0.0,0.0,Martin Vaz
2022-02-18,,,0.0,0.0,0.0,Martin Vaz
2022-02-19,26.0,27.0,0.0,0.0,4.2,Martin Vaz
2022-02-20,,,0.0,0.0,0.0,Martin Vaz
2022-02-21,,,0.0,0.0,0.0,Martin Vaz
2022-02-22,19.0,38.0,1.0,0.0,41.7,Martin Vaz
2022-02-23,17.0,39.0,1.0,0.0,50.0,Martin Vaz
2022-02-24,,,0.0,0.0,0.0,Martin Vaz
2022-02-25,36.0,42.0,1.0,4.2,50.0,Martin Vaz
2022-02-26,34.0,35.0,1.0,16.7,29.2,Martin Vaz
2022-02-27,,,0.0,0.0,0.0,Martin Vaz
2022-02-28,,,0.0,0.0,0.0,Martin Vaz
2022-03-01,,,0.0,0.0,0.0,Martin Vaz
2022-03-02,,,0.0,0.0,0.0,Martin Vaz
2022-03-03,27.0,,0.0,33.3,0.0,Martin Vaz
2022-03-04,,,0.0,0.0,0.0,Martin Vaz
2022-03-05,,,0.0,0.0,0.0,Martin Vaz
2022-03-06,38.0,24.0,1.0,33.3,12.5,Martin Vaz
2022-03-07,41.0,25.0,1.0,0.0,62.5,Martin Vaz
2022-03-08,37.0,21.0,0.0,4.2,16.7,Martin Vaz
2022-03-09,,,0.0,0.0,0.0,Martin Vaz
2022-03-10,,,0.0,0.0,0.0,Martin Vaz
2022-03-11,44.0,20.0,1.0,4.2,41.7,Martin Vaz
2022-03-12,44.0,12.0,2.0,8.3,91.7,Martin Vaz
2022-03-13,37.0,7.0,2.0,16.7,70.8,Martin Vaz
2022-03-14,2.0,,0.0,8.3,0.0,Martin Vaz
2022-03-15,38.0,24.0,0.0,0.0,8.3,Martin Vaz
2022-03-16,,,0.0,0.0,0.0,Martin Vaz
2022-03-17,42.0,32.0,0.0,4.2,16.7,Martin Vaz
2022-03-18,,,0.0,0.0,0.0,Martin Vaz
2022-03-19,28.0,45.0,0.0,4.2,12.5,Martin Vaz
2022-03-20,5.0,33.0,1.0,33.3,25.0,Martin Vaz
2022-03-21,13.0,38.0,2.0,37.5,62.5,Martin Vaz
2022-03-22,17.0,37.0,2.0,4.2,75.0,Martin Vaz
2022-03-23,,,0.0,0.0,0.0,Martin Vaz
2022-03-24,,,0.0,0.0,0.0,Martin Vaz
2022-03-25,39.0,23.0,1.0,0.0,70.8,Martin Vaz
2022-03-26,34.0,14.0,1.0,29.2,54.2,Martin Vaz
2022-03-27,28.0,36.0,1.0,83.3,8.3,Martin Vaz
2022-03-28,32.0,22.0,1.0,50.0,12.5,Martin Vaz
2022-03-29,,,0.0,0.0,0.0,Martin Vaz
2022-03-30,23.0,4.0,0.0,8.3,4.2,Martin Vaz
2022-03-31,31.0,4.0,1.0,20.8,45.8,Martin Vaz
2022-04-01,32.0,4.0,1.0,66.7,33.3,Martin Vaz
2022-04-02,25.0,36.0,2.0,33.3,66.7,Martin Vaz
2022-04-03,18.0,45.0,1.0,4.2,45.8,Martin Vaz
2022-04-04,27.0,21.0,0.0,0.0,4.2,Martin Vaz
2022-04-05,32.0,30.0,0.0,8.3,16.7,Martin Vaz
2022-04-06,,,0.0,0.0,0.0,Martin Vaz
2022-04-07,,,0.0,0.0,0.0,Martin Vaz
2022-04-08,,,0.0,0.0,0.0,Martin Vaz
2022-04-09,25.0,36.0,1.0,0.0,45.8,Martin Vaz
2022-04-10,25.0,37.0,1.0,0.0,62.5,Martin Vaz
2022-04-11,,,0.0,0.0,0.0,Martin Vaz
2022-04-12,34.0,24.0,0.0,0.0,4.2,Martin Vaz
2022-04-13,34.0,30.0,1.0,25.0,25.0,Martin Vaz
2022-04-14,16.0,33.0,2.0,41.7,58.3,Martin Vaz
2022-04-15,11.0,34.0,2.0,0.0,100.0,Martin Vaz
2022-04-16,7.0,30.0,1.0,4.2,41.7,Martin Vaz
2022-04-17,,,0.0,0.0,0.0,Martin Vaz
2022-04-18,29.0,29.0,0.0,0.0,12.5,Martin Vaz
2022-04-19,,,0.0,0.0,0.0,Martin Vaz
2022-04-20,,,0.0,0.0,0.0,Martin Vaz
2022-04-21,40.0,22.0,0.0,0.0,16.7,Martin Vaz
2022-04-22,,,0.0,0.0,0.0,Martin Vaz
2022-04-23,,,0.0,0.0,0.0,Martin Vaz
2022-04-24,,,0.0,0.0,0.0,Martin Vaz
2022-04-25,,,0.0,0.0,0.0,Martin Vaz
2022-04-26,35.0,38.0,0.0,0.0,12.5,Martin Vaz
2022-04-27,,,0.0,0.0,0.0,Martin Vaz
2022-04-28,27.0,26.0,1.0,4.2,45.8,Martin Vaz
2022-04-29,44.0,24.0,0.0,0.0,4.2,Martin Vaz
2022-04-30,,,0.0,0.0,0.0,Martin Vaz
2022-05-01,39.0,31.0,1.0,4.2,41.7,Martin Vaz
2022-05-02,31.0,20.0,0.0,0.0,4.2,Martin Vaz
2022-05-03,34.0,20.0,0.0,0.0,20.8,Martin Vaz
2022-05-04,,,0.0,0.0,0.0,Martin Vaz
2022-05-05,,,0.0,0.0,0.0,Martin Vaz
2022-05-06,43.0,15.0,1.0,0.0,45.8,Martin Vaz
2022-05-07,39.0,16.0,1.0,4.2,62.5,Martin Vaz
2022-05-08,,,0.0,0.0,0.0,Martin Vaz
2022-05-09,37.0,32.0,0.0,0.0,16.7,Martin Vaz
2022-05-10,34.0,25.0,1.0,25.0,45.8,Martin Vaz
2022-05-11,29.0,,1.0,100.0,0.0,Martin Vaz
2022-05-12,31.0,14.0,2.0,4.2,95.8,Martin Vaz
2022-05-13,27.0,,0.0,41.7,0.0,Martin Vaz
2022-05-14,18.0,43.0,1.0,0.0,37.5,Martin Vaz
2022-05-15,19.0,43.0,1.0,0.0,45.8,Martin Vaz
2022-05-16,,,0.0,0.0,0.0,Martin Vaz
2022-05-17,32.0,23.0,0.0,12.5,16.7,Martin Vaz
2022-05-18,,,0.0,0.0,0.0,Martin Vaz
2022-05-19,,,0.0,0.0,0.0,Martin Vaz
2022-05-20,37.0,32.0,1.0,8.3,29.2,Martin Vaz
2022-05-21,32.0,33.0,2.0,33.3,66.7,Martin Vaz
2022-05-22,43.0,16.0,1.0,66.7,4.2,Martin Vaz
2022-05-23,,,0.0,0.0,0.0,Martin Vaz
2022-05-24,,,0.0,0.0,0.0,Martin Vaz
2022-05-25,,,0.0,0.0,0.0,Martin Vaz
2022-05-26,,,0.0,0.0,0.0,Martin Vaz
2022-05-27,,,0.0,0.0,0.0,Martin Vaz
2022-05-28,15.0,39.0,1.0,0.0,54.2,Martin Vaz
2022-05-29,16.0,40.0,1.0,0.0,41.7,Martin Vaz
2022-05-30,22.0,20.0,0.0,0.0,4.2,Martin Vaz
2022-05-31,30.0,34.0,0.0,0.0,20.8,Martin Vaz
2022-06-01,,,0.0,0.0,0.0,Martin Vaz
2022-06-02,,,0.0,0.0,0.0,Martin Vaz
2022-06-03,14.0,35.0,1.0,0.0,54.2,Martin Vaz
2022-06-04,12.0,32.0,2.0,29.2,70.8,Martin Vaz
2022-06-05,,24.0,1.0,100.0,0.0,Martin Vaz
2022-06-06,27.0,32.0,1.0,50.0,33.3,Martin Vaz
2022-06-07,24.0,36.0,0.0,0.0,16.7,Martin Vaz
2022-06-08,,,0.0,0.0,0.0,Martin Vaz
2022-06-09,,,0.0,0.0,0.0,Martin Vaz
2022-06-10,7.0,30.0,0.0,0.0,12.5,Martin Vaz
2022-06-11,3.0,29.0,2.0,45.8,54.2,Martin Vaz
2022-06-12,5.0,29.0,2.0,33.3,58.3,Martin Vaz
2022-06-13,4.0,29.0,2.0,37.5,58.3,Martin Vaz
2022-06-14,8.0,27.0,1.0,25.0,41.7,Martin Vaz
2022-06-15,18.0,37.0,1.0,4.2,58.3,Martin Vaz
2022-06-16,22.0,39.0,1.0,0.0,33.3,Martin Vaz
2022-06-17,31.0,23.0,0.0,0.0,20.8,Martin Vaz
2022-06-18,16.0,38.0,1.0,4.2,54.2,Martin Vaz
2022-06-19,14.0,33.0,1.0,0.0,54.2,Martin Vaz
2022-06-20,31.0,20.0,0.0,0.0,25.0,Martin Vaz
2022-06-21,27.0,25.0,0.0,4.2,4.2,Martin Vaz
2022-06-22,31.0,33.0,1.0,0.0,37.5,Martin Vaz
2022-06-23,,,0.0,0.0,0.0,Martin Vaz
2022-06-24,,,0.0,0.0,0.0,Martin Vaz
2022-06-25,8.0,31.0,1.0,50.0,16.7,Martin Vaz
2022-06-26,22.0,32.0,2.0,16.7,83.3,Martin Vaz
2022-06-27,35.0,38.0,1.0,0.0,37.5,Martin Vaz
2022-06-28,30.0,35.0,0.0,0.0,16.7,Martin Vaz
2022-06-29,,,0.0,0.0,0.0,Martin Vaz
2022-06-30,,,0.0,0.0,0.0,Martin Vaz
2022-07-01,,,0.0,0.0,0.0,Martin Vaz
2022-07-02,19.0,38.0,1.0,0.0,45.8,Martin Vaz
2022-07-03,15.0,43.0,1.0,0.0,54.2,Martin Vaz
2022-07-04,37.0,35.0,0.0,4.2,8.3,Martin Vaz
2022-07-05,,,0.0,0.0,0.0,Martin Vaz
2022-07-06,25.0,37.0,1.0,0.0,50.0,Martin Vaz
2022-07-07,36.0,6.0,1.0,0.0,50.0,Martin Vaz
2022-07-08,38.0,13.0,1.0,0.0,33.3,Martin Vaz
2022-07-09,17.0,38.0,1.0,0.0,70.8,Martin Vaz
2022-07-10,11.0,31.0,1.0,70.8,29.2,Martin Vaz
2022-07-11,34.0,13.0,2.0,0.0,100.0,Martin Vaz
2022-07-12,36.0,16.0,1.0,0.0,41.7,Martin Vaz
2022-07-13,,,0.0,0.0,0.0,Martin Vaz
2022-07-14,,,0.0,0.0,0.0,Martin Vaz
2022-07-15,27.0,35.0,1.0,4.2,29.2,Martin Vaz
2022-07-16,29.0,43.0,1.0,62.5,37.5,Martin Vaz
2022-07-17,32.0,,1.0,100.0,0.0,Martin Vaz
2022-07-18,33.0,,0.0,41.7,0.0,Martin Vaz
2022-07-19,,,0.0,0.0,0.0,Martin Vaz
2022-07-20,10.0,,0.0,12.5,0.0,Martin Vaz
2022-07-21,,,0.0,0.0,0.0,Martin Vaz
2022-07-22,39.0,,0.0,25.0,0.0,Martin Vaz
2022-07-23,36.0,,0.0,20.8,0.0,Martin Vaz
2022-07-24,,,0.0,0.0,0.0,Martin Vaz
2022-07-25,43.0,,0.0,16.7,0.0,Martin Vaz
2022-07-26,46.0,,1.0,66.7,0.0,Martin Vaz
2022-07-27,38.0,,1.0,8.3,0.0,Martin Vaz
